"Vote Type (FOR=1,AGAINST=2)","County","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", LEGS 45,LEGS 26,LEGS 27C,LEGS 37B,LEGS 04,LEGS 47A,LEGS 02A,LEGS 08,LEGS 47B,LEGS 30A,LEGS 34A,LEGS 28,LEGS 44A,LEGS 07,LEGS 03B,LEGS 13,LEGS 17,LEGS 29B,LEGS 21,LEGS 31A,LEGS 34B,LEGS 44B,LEGS 12,LEGS 18,LEGS 11,LEGS 38B,LEGS 22,LEGS 31B,LEGS 33,LEGS 16,LEGS 20,LEGS 19,LEGS 23A,LEGS 32,LEGS 43,LEGS 25,LEGS 10,LEGS 36,LEGS 03A,LEGS 09B,LEGS 09A,LEGS 39,LEGS 05,LEGS 29A,LEGS 42A,LEGS 30B,LEGS 46,LEGS 27B,LEGS 29C,LEGS 35A,LEGS 14,LEGS 15,LEGS 01B,LEGS 40,LEGS 41,LEGS 35B,LEGS 24,LEGS 37A,LEGS 01A,LEGS 01C,LEGS 42B,LEGS 38C,LEGS 06,LEGS 02B,LEGS 27A,LEGS 23B,LEGS 38A
1,00,"Donald J. Trump",REP,President - Vice Pres,,,,2964,1958,8771,17778,32193,1060,21889,16961,397,8883,9915,14954,355,30206,7684,11047,6969,5754,7423,5494,8697,4063,12024,5394,11745,6061,2854,21220,23989,7605,2913,8228,1921,14453,2371,1200,6577,24163,9063,4049,18308,7045,33655,9664,3446,7990,7034,6418,8467,8697,11438,10519,9712,2568,3322,22601,1403,3135,11207,10061,16651,10681,20004,5020,3332,3651,7283
1,00,"Hillary Clinton",DEM,President - Vice Pres,,Y,,23638,24382,5153,7818,16085,15412,8665,17201,4509,12267,10325,24217,7774,12415,6698,24530,20639,5006,20583,5081,4278,14579,17541,23452,19985,4296,24338,8692,19054,26730,21438,21805,6850,18908,24856,24481,20338,10721,13247,6227,12667,20888,11979,3626,6881,4376,20732,6648,4744,3821,21463,21264,3159,23315,20732,6855,26982,6166,1981,2704,12232,3850,11720,4586,8944,15639,4991
1,00,"Gary Johnson",LIB,President - Vice Pres,,,,462,318,597,873,2451,198,1137,1343,58,1106,846,1020,87,1718,764,1677,948,663,1027,367,663,589,1467,841,1204,446,410,1297,2386,1123,511,918,234,1378,504,227,717,1449,1169,564,1761,885,2480,467,534,548,1360,429,773,518,1164,1160,414,489,482,1295,247,220,369,345,1504,406,897,453,216,439,326
1,00,"Jill Stein",GRN,President - Vice Pres,,,,512,361,173,285,640,275,358,605,86,322,371,450,153,540,236,670,517,140,535,175,208,362,598,547,489,150,534,353,649,506,544,499,157,571,734,341,525,425,413,178,401,471,636,132,224,144,470,143,184,193,525,499,166,564,426,345,358,92,101,175,481,163,432,194,136,284,95
1,00,"Paij Boring",REP,President - Vice Pres,,,Y,0,0,0,0,4,0,2,1,0,1,2,0,0,0,1,0,1,0,4,2,0,1,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0
1,00,"Joann Breivogel",REP,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Jacqueline Gates",REP,President - Vice Pres,,,Y,0,0,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,1,0,1,2,0
1,00,"Stephen McCarthy",REP,President - Vice Pres,,,Y,1,0,0,0,2,0,0,2,0,1,1,0,0,2,0,8,2,0,2,0,2,1,5,3,2,0,0,1,2,1,0,1,1,1,2,0,1,3,2,0,3,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,3,0,0
1,00,"Janet L. Reid",REP,President - Vice Pres,,,Y,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,7,1,0,0,0,1,2,1,0,0,0,0,3,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1,00,"Paul Adams",DEM,President - Vice Pres,,,Y,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,1,0,2,1,1,0,0,0,0
