"Vote Type (FOR=1,AGAINST=2)","County","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", LEGS 37B,LEGS 47,LEGS 02A,LEGS 45,LEGS 26,LEGS 08,LEGS 28,LEGS 03B,LEGS 13,LEGS 12B,LEGS 17,LEGS 34A,LEGS 04B,LEGS 07,LEGS 29B,LEGS 34B,LEGS 21,LEGS 04A,LEGS 18,LEGS 11,LEGS 38B,LEGS 16,LEGS 19,LEGS 22,LEGS 31,LEGS 44,LEGS 20,LEGS 23A,LEGS 02C,LEGS 09B,LEGS 36,LEGS 03A,LEGS 09A,LEGS 39,LEGS 32,LEGS 43,LEGS 10,LEGS 25,LEGS 42,LEGS 29A,LEGS 12A,LEGS 14,LEGS 15,LEGS 46,LEGS 27B,LEGS 29C,LEGS 35A,LEGS 01B,LEGS 37A,LEGS 01A,LEGS 40,LEGS 41,LEGS 24,LEGS 06,LEGS 35B,LEGS 01C,LEGS 05A,LEGS 33A,LEGS 30,LEGS 33B,LEGS 27A,LEGS 05B,LEGS 38A,LEGS 23B,LEGS 02B
1,00,"Martin O'Malley",DEM,Governor / Lt. Governor,,Y,,8888,13254,4514,18892,23170,15199,24120,6847,22349,7641,18046,11152,3908,12573,5495,4109,16575,8831,22214,24100,9924,26327,19276,16561,12440,14580,18851,15127,3495,4233,13061,11413,12781,15982,16009,20608,26454,24292,16319,5004,9716,19754,20132,13562,5836,5054,7368,3931,4948,2704,18040,20586,20921,10565,4087,3504,6815,11680,18596,5755,21113,5034,4373,9969,4026
1,00,"Robert L. Ehrlich, Jr.",REP,Governor / Lt. Governor,,,,17022,1167,7818,3254,1744,20527,14139,9158,15039,3688,8467,11463,10283,25983,6794,8465,6433,16478,7707,17562,15230,10907,9698,2993,22815,1828,3376,4877,3753,11144,23451,10277,18207,7933,16957,3295,5613,1121,19438,7388,13156,13054,14099,7203,7003,6804,23379,6913,3440,7803,2411,4213,555,15913,9816,6158,20175,18176,21140,9026,5437,12941,6488,1407,6936
1,00,"Susan J. Gaztanaga",LIB,Governor / Lt. Governor,,,,290,35,154,143,50,386,214,152,304,81,161,272,129,375,173,186,154,302,151,283,290,166,139,84,398,79,123,89,140,156,416,238,233,149,351,128,172,40,305,124,181,183,185,214,107,161,363,156,87,112,131,109,42,358,138,167,299,243,329,132,83,170,128,34,166
1,00,"Maria Allwine",GRN,Governor / Lt. Governor,,,,172,63,122,176,35,313,138,92,270,78,160,174,105,270,85,116,131,191,193,253,142,138,165,123,272,114,189,66,83,108,302,159,161,152,303,297,202,38,347,74,183,172,128,194,76,96,204,90,45,75,284,167,38,219,89,105,220,199,347,102,66,91,57,27,127
1,00,"Eric Delano Knowles",CON,Governor / Lt. Governor,,,,149,40,151,84,24,171,175,121,151,31,93,165,134,203,113,153,91,293,92,144,150,49,106,54,241,55,36,66,90,107,221,152,110,100,246,68,93,30,103,101,145,113,75,85,68,99,210,106,45,93,54,61,22,151,83,162,251,142,234,71,59,81,96,14,118
1,00,"Ralph Jaffe",DEM,Governor / Lt. Governor,,,Y,5,1,2,8,0,15,1,4,4,4,1,6,11,8,0,1,0,1,0,17,0,1,2,2,1,5,2,4,6,4,6,3,3,4,2,8,16,0,18,0,1,0,1,12,0,1,4,0,1,3,3,24,1,17,1,3,13,2,2,1,1,1,0,0,2
1,00,"Corrogan R. Vaughn",UNF,Governor / Lt. Governor,,,Y,2,0,3,5,1,3,4,0,2,0,1,3,1,8,0,1,4,1,0,3,2,0,0,4,2,8,0,0,0,1,7,1,2,0,7,8,9,2,2,1,2,0,0,3,0,1,0,1,0,2,8,8,0,6,0,3,2,3,4,0,1,0,2,0,2
1,00,"Other Write-Ins",BOT,Governor / Lt. Governor,,,Y,16,7,25,23,11,42,28,17,34,7,13,15,17,29,9,8,13,27,23,39,17,23,23,14,40,25,20,21,14,12,26,22,29,17,37,27,31,6,35,10,19,19,14,25,5,6,28,4,6,8,21,27,5,36,16,9,37,34,41,9,6,11,12,7,15
1,00,"Peter Franchot",DEM,Comptroller,,Y,,11878,12715,4227,18561,22618,18048,23484,6842,22794,7678,17766,12577,4478,15991,5235,4613,16436,9017,21870,26928,10406,25848,19020,16165,15515,13871,18531,15025,3385,5212,15630,11287,13879,15765,17658,20503,26921,23848,18901,4975,11383,19756,19956,13882,5679,4899,10217,4300,5079,2844,17335,20088,20392,12987,5310,3618,8875,12932,20414,6381,20818,6599,4748,9878,3917
1,00,"William Henry Campbell",REP,Comptroller,,,,13481,1271,7699,2649,1774,16774,13999,8889,14037,3441,8169,9900,9473,21579,6845,7763,6204,16020,7387,13501,14198,10457,9322,2960,18938,1605,3318,4694,3711,9876,20029,9927,16402,7828,14834,2650,4413,1119,16020,6988,10788,12442,13528,5956,6734,6699,20061,6015,3131,7107,2170,3360,626,12596,8376,5756,17600,16286,18608,8140,5279,10990,5771,1359,6747
