"Vote Type (FOR=1,AGAINST=2)","County","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", LEGS 45,LEGS 26,LEGS 27C,LEGS 37B,LEGS 04,LEGS 47A,LEGS 08,LEGS 02A,LEGS 47B,LEGS 30A,LEGS 34A,LEGS 28,LEGS 44A,LEGS 07,LEGS 03B,LEGS 13,LEGS 17,LEGS 29B,LEGS 21,LEGS 31A,LEGS 34B,LEGS 44B,LEGS 12,LEGS 18,LEGS 11,LEGS 38B,LEGS 22,LEGS 31B,LEGS 33,LEGS 16,LEGS 20,LEGS 19,LEGS 23A,LEGS 32,LEGS 43,LEGS 25,LEGS 10,LEGS 36,LEGS 03A,LEGS 09B,LEGS 09A,LEGS 39,LEGS 29A,LEGS 05,LEGS 42A,LEGS 30B,LEGS 46,LEGS 27B,LEGS 35A,LEGS 14,LEGS 15,LEGS 01B,LEGS 29C,LEGS 40,LEGS 41,LEGS 35B,LEGS 24,LEGS 37A,LEGS 01A,LEGS 01C,LEGS 06,LEGS 42B,LEGS 38C,LEGS 02B,LEGS 27A,LEGS 23B,LEGS 38A
1,00,"Anthony G. Brown",DEM,Governor / Lt. Governor,,,,15516,22117,3611,5479,10245,9756,9699,5107,2629,8052,6443,17409,5405,6544,4078,16858,13259,3012,12764,2590,2236,11683,12526,17477,13139,2594,16734,3837,10649,21592,18138,15349,5406,10071,17034,21458,15665,6773,8081,4388,7424,11610,2232,5996,4289,2769,9928,5763,1881,15629,13940,2283,2947,14480,16469,3554,21170,3454,1633,1974,5736,6514,2838,2210,7729,15386,3235
1,00,"Larry Hogan",REP,Governor / Lt. Governor,,Y,,4166,2821,8679,17794,30095,1173,20975,17338,377,11674,10524,16027,657,33601,7345,15180,8479,5794,8454,4901,9812,5967,15829,8170,17440,5183,3552,19852,27894,13088,4206,10633,2506,14255,4166,1580,8788,24209,9238,6073,22014,7801,9097,34293,5500,8035,8092,7193,6985,15097,13004,7736,8917,3210,5131,22220,1760,2519,8487,7706,18421,21473,9013,3637,3632,5007,6379
1,00,"Shawn Quinn",LIB,Governor / Lt. Governor,,,,386,177,219,289,767,96,590,373,22,307,348,408,102,543,217,516,347,239,308,154,187,384,596,335,402,137,223,376,586,339,259,332,90,482,446,136,346,448,393,190,411,348,171,629,206,133,461,125,188,357,355,189,276,387,301,441,150,80,241,179,447,447,225,142,92,186,145
1,00,"Charles U. Smith",DEM,Governor / Lt. Governor,,,Y,10,3,3,2,8,0,7,2,0,3,2,2,0,4,2,8,0,0,4,1,0,2,2,0,7,0,0,4,6,1,0,0,0,7,8,2,4,9,0,3,1,1,0,5,0,0,8,0,0,1,0,0,0,15,13,1,0,0,6,1,4,5,0,2,1,1,0
1,00,"Ed Tinus",UNF,Governor / Lt. Governor,,,Y,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0
1,00,"Other Write-Ins",BOT,Governor / Lt. Governor,,,Y,114,22,12,18,54,15,101,20,1,35,52,35,22,73,12,75,48,14,33,19,31,58,98,48,119,7,43,33,65,47,64,45,20,42,157,13,78,45,26,27,45,27,11,77,75,15,100,13,17,37,49,10,9,141,109,49,21,3,10,7,75,99,11,5,10,33,4
1,00,"Peter Franchot",DEM,Comptroller            ,,Y,,17225,22175,5172,11531,16014,9657,17917,8026,2562,11066,9975,20015,5528,18113,5395,20163,14694,3787,14320,4469,5471,14221,17878,18862,20610,3506,17131,10056,17971,23805,18795,17077,5829,14541,18852,21403,19131,14334,9773,6159,13116,12653,3938,16518,6753,4548,12820,6948,3563,18017,15886,4547,4322,15417,18304,10317,21052,4078,3143,3735,12606,14586,4800,2935,8240,16187,4500
1,00,"William H. Campbell",REP,Comptroller            ,,,,2297,2468,6914,11636,24011,1017,12718,13968,348,8558,7053,13012,412,21805,5911,11620,6966,4992,6712,3039,6523,3537,10422,6529,9847,4266,2853,13446,20400,10469,3366,8680,2033,9870,2297,1345,5350,16352,7384,4219,15935,6765,7170,23297,3095,6133,5044,5815,5264,12448,10836,5240,7474,2006,2934,15299,1528,1821,6832,5735,11415,13384,7076,2837,3000,4000,4967
1,00,"Anjali Reed Phukan",OTH,Comptroller            ,,,Y,17,10,3,1,22,2,11,5,2,5,2,8,2,7,7,16,10,0,18,1,2,10,17,6,9,2,7,7,12,2,6,2,2,12,16,7,5,12,9,3,13,5,0,11,0,0,13,2,5,9,9,1,3,15,18,5,1,1,1,0,7,8,1,1,4,7,1
1,00,"Other Write-Ins",BOT,Comptroller            ,,,Y,35,16,10,12,35,9,40,14,0,16,22,44,10,26,8,49,30,13,20,10,11,23,46,40,42,8,28,24,31,30,34,41,19,14,41,18,22,15,26,20,35,31,14,39,18,5,36,8,7,32,36,9,9,81,36,20,25,8,7,6,29,27,11,6,8,26,9
