County,Eligible,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
,,,,,,,,,,,
Alameda,1091939.00,883942.00,489759.00,95587.00,17000.00,6530.00,4728.00,2736.00,76.00,5579.00,261947.00
Percent,,0.81,0.55,0.11,0.02,0.01,0.01,0.00,0.00,0.01,0.30
,,,,,,,,,,,
Alpine,939.00,773.00,319.00,200.00,28.00,6.00,6.00,2.00,0.00,3.00,209.00
Percent,,0.82,0.41,0.26,0.04,0.01,0.01,0.00,0.00,0.00,0.27
,,,,,,,,,,,
Amador,27193.00,22439.00,6347.00,9809.00,966.00,100.00,306.00,58.00,9.00,53.00,4791.00
Percent,,0.83,0.28,0.44,0.04,0.00,0.01,0.00,0.00,0.00,0.21
,,,,,,,,,,,
Butte,172054.00,122350.00,42093.00,41330.00,4261.00,913.00,1436.00,394.00,394.00,1152.00,30377.00
Percent,,0.71,0.34,0.34,0.03,0.01,0.01,0.00,0.00,0.01,0.25
,,,,,,,,,,,
Calaveras,36091.00,29497.00,7935.00,12200.00,1359.00,187.00,437.00,94.00,96.00,233.00,6956.00
Percent,,0.82,0.27,0.41,0.05,0.01,0.01,0.00,0.00,0.01,0.24
,,,,,,,,,,,
Colusa,12560.00,8825.00,2710.00,3475.00,256.00,17.00,73.00,20.00,1.00,5.00,2268.00
Percent,,0.70,0.31,0.39,0.03,0.00,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
Contra Costa,761672.00,631040.00,305850.00,122364.00,16200.00,2891.00,4309.00,1699.00,2045.00,996.00,174686.00
Percent,,0.83,0.48,0.19,0.03,0.00,0.01,0.00,0.00,0.00,0.28
,,,,,,,,,,,
Del Norte,18099.00,13771.00,4172.00,4918.00,615.00,103.00,145.00,79.00,1.00,106.00,3632.00
Percent,,0.76,0.30,0.36,0.04,0.01,0.01,0.01,0.00,0.01,0.26
,,,,,,,,,,,
El Dorado,141759.00,121901.00,34739.00,48494.00,4921.00,670.00,1744.00,297.00,95.00,875.00,30066.00
Percent,,0.86,0.28,0.40,0.04,0.01,0.01,0.00,0.00,0.01,0.25
,,,,,,,,,,,
Fresno,599766.00,461008.00,172730.00,150470.00,12814.00,1432.00,3219.00,1647.00,81.00,4338.00,114277.00
Percent,,0.77,0.37,0.33,0.03,0.00,0.01,0.00,0.00,0.01,0.25
,,,,,,,,,,,
Glenn,18536.00,12825.00,3547.00,5375.00,480.00,33.00,131.00,37.00,1.00,24.00,3197.00
Percent,,0.69,0.28,0.42,0.04,0.00,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Humboldt,105415.00,78158.00,34027.00,17670.00,2496.00,1775.00,837.00,346.00,248.00,249.00,20510.00
Percent,,0.74,0.44,0.23,0.03,0.02,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
Imperial,101666.00,69937.00,32941.00,12738.00,1547.00,170.00,370.00,366.00,406.00,381.00,21018.00
Percent,,0.69,0.47,0.18,0.02,0.00,0.01,0.01,0.01,0.01,0.30
,,,,,,,,,,,
Inyo,13673.00,10171.00,3068.00,3968.00,414.00,57.00,104.00,30.00,2.00,46.00,2482.00
Percent,,0.74,0.30,0.39,0.04,0.01,0.01,0.00,0.00,0.00,0.24
,,,,,,,,,,,
Kern,519934.00,379448.00,125717.00,132298.00,12547.00,971.00,3354.00,1462.00,1904.00,587.00,100608.00
Percent,,0.73,0.33,0.35,0.03,0.00,0.01,0.00,0.01,0.00,0.27
,,,,,,,,,,,
Kings,81094.00,52601.00,16995.00,20991.00,1388.00,108.00,431.00,145.00,284.00,156.00,12103.00
Percent,,0.65,0.32,0.40,0.03,0.00,0.01,0.00,0.01,0.00,0.23
,,,,,,,,,,,
Lake,49550.00,32883.00,12270.00,8685.00,1317.00,319.00,357.00,170.00,2.00,50.00,9713.00
Percent,,0.66,0.37,0.26,0.04,0.01,0.01,0.01,0.00,0.00,0.30
,,,,,,,,,,,
Lassen,17090.00,14460.00,2817.00,7035.00,770.00,48.00,155.00,42.00,9.00,84.00,3500.00
Percent,,0.85,0.19,0.49,0.05,0.00,0.01,0.00,0.00,0.01,0.24
,,,,,,,,,,,
Los Angeles,6239345.00,5396890.00,2682019.00,899159.00,114161.00,22194.00,32896.00,29485.00,23349.00,39653.00,1553974.00
Percent,,0.86,0.50,0.17,0.02,0.00,0.01,0.01,0.00,0.01,0.29
,,,,,,,,,,,
Madera,90574.00,58085.00,18152.00,22011.00,1844.00,156.00,469.00,216.00,237.00,236.00,14764.00
Percent,,0.64,0.31,0.38,0.03,0.00,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Marin,182393.00,161870.00,89526.00,23380.00,3648.00,1295.00,1059.00,261.00,308.00,485.00,41908.00
Percent,,0.89,0.55,0.14,0.02,0.01,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
Mariposa,14932.00,10886.00,3010.00,4623.00,423.00,84.00,124.00,30.00,13.00,129.00,2450.00
Percent,,0.73,0.28,0.42,0.04,0.01,0.01,0.00,0.00,0.01,0.23
,,,,,,,,,,,
Mendocino,64436.00,49821.00,23284.00,9739.00,1682.00,1045.00,511.00,220.00,421.00,142.00,12777.00
Percent,,0.77,0.47,0.20,0.03,0.02,0.01,0.00,0.01,0.00,0.26
,,,,,,,,,,,
Merced,161723.00,98381.00,41741.00,26607.00,3016.00,313.00,736.00,285.00,27.00,110.00,25546.00
Percent,,0.61,0.42,0.27,0.03,0.00,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
Modoc,7405.00,4945.00,1048.00,2425.00,240.00,19.00,44.00,16.00,5.00,15.00,1133.00
Percent,,0.67,0.21,0.49,0.05,0.00,0.01,0.00,0.00,0.00,0.23
,,,,,,,,,,,
Mono,9555.00,6707.00,2289.00,2026.00,257.00,55.00,67.00,29.00,3.00,8.00,1973.00
Percent,,0.70,0.34,0.30,0.04,0.01,0.01,0.00,0.00,0.00,0.29
,,,,,,,,,,,
Monterey,245206.00,189607.00,92437.00,38251.00,4514.00,950.00,1321.00,638.00,833.00,177.00,50486.00
Percent,,0.77,0.49,0.20,0.02,0.01,0.01,0.00,0.00,0.00,0.27
,,,,,,,,,,,
Napa,92280.00,78182.00,35404.00,16939.00,2351.00,540.00,703.00,210.00,270.00,307.00,21458.00
Percent,,0.85,0.45,0.22,0.03,0.01,0.01,0.00,0.00,0.00,0.27
,,,,,,,,,,,
