County,Eligible,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
,,,,,,,,,,,
Alameda,1089154.00,881491.00,490683.00,97377.00,16413.00,6701.00,4660.00,2688.00,30.00,5858.00,257081.00
Percent,,0.81,0.56,0.11,0.02,0.01,0.01,0.00,0.00,0.01,0.29
,,,,,,,,,,,
Alpine,939.00,758.00,312.00,205.00,25.00,5.00,6.00,2.00,0.00,3.00,200.00
Percent,,0.81,0.41,0.27,0.03,0.01,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
Amador,27117.00,22305.00,6423.00,9812.00,942.00,102.00,295.00,61.00,6.00,51.00,4613.00
Percent,,0.82,0.29,0.44,0.04,0.00,0.01,0.00,0.00,0.00,0.21
,,,,,,,,,,,
Butte,171771.00,122741.00,42843.00,41955.00,4241.00,936.00,1382.00,383.00,322.00,1197.00,29482.00
Percent,,0.71,0.35,0.34,0.03,0.01,0.01,0.00,0.00,0.01,0.24
,,,,,,,,,,,
Calaveras,36101.00,29591.00,8099.00,12264.00,1345.00,188.00,447.00,94.00,87.00,234.00,6833.00
Percent,,0.82,0.27,0.41,0.05,0.01,0.02,0.00,0.00,0.01,0.23
,,,,,,,,,,,
Colusa,12552.00,8792.00,2743.00,3464.00,254.00,20.00,71.00,21.00,0.00,6.00,2213.00
Percent,,0.70,0.31,0.39,0.03,0.00,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Contra Costa,759693.00,621309.00,303591.00,123425.00,16057.00,2944.00,4191.00,1624.00,1135.00,998.00,167344.00
Percent,,0.82,0.49,0.20,0.03,0.00,0.01,0.00,0.00,0.00,0.27
,,,,,,,,,,,
Del Norte,18039.00,14150.00,4314.00,5037.00,628.00,106.00,150.00,83.00,1.00,116.00,3715.00
Percent,,0.78,0.30,0.36,0.04,0.01,0.01,0.01,0.00,0.01,0.26
,,,,,,,,,,,
El Dorado,141268.00,121192.00,34837.00,48765.00,4825.00,676.00,1705.00,301.00,81.00,925.00,29077.00
Percent,,0.86,0.29,0.40,0.04,0.01,0.01,0.00,0.00,0.01,0.24
,,,,,,,,,,,
Fresno,597497.00,456891.00,172955.00,151844.00,12678.00,1458.00,3125.00,1575.00,41.00,4283.00,108932.00
Percent,,0.76,0.38,0.33,0.03,0.00,0.01,0.00,0.00,0.01,0.24
,,,,,,,,,,,
Glenn,18520.00,12730.00,3572.00,5386.00,485.00,35.00,131.00,37.00,0.00,24.00,3060.00
Percent,,0.69,0.28,0.42,0.04,0.00,0.01,0.00,0.00,0.00,0.24
,,,,,,,,,,,
Humboldt,105521.00,78518.00,34431.00,17879.00,2498.00,1855.00,824.00,357.00,191.00,237.00,20246.00
Percent,,0.74,0.44,0.23,0.03,0.02,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
Imperial,101197.00,69728.00,33144.00,12821.00,1552.00,164.00,373.00,366.00,387.00,399.00,20522.00
Percent,,0.69,0.48,0.18,0.02,0.00,0.01,0.01,0.01,0.01,0.29
,,,,,,,,,,,
Inyo,13689.00,10036.00,3040.00,3993.00,418.00,54.00,101.00,25.00,1.00,48.00,2356.00
Percent,,0.73,0.30,0.40,0.04,0.01,0.01,0.00,0.00,0.00,0.23
,,,,,,,,,,,
Kern,518711.00,375881.00,126062.00,132595.00,12447.00,979.00,3244.00,1383.00,1489.00,519.00,97163.00
Percent,,0.72,0.34,0.35,0.03,0.00,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
Kings,80450.00,52631.00,17034.00,21463.00,1381.00,111.00,434.00,147.00,244.00,147.00,11670.00
Percent,,0.65,0.32,0.41,0.03,0.00,0.01,0.00,0.00,0.00,0.22
,,,,,,,,,,,
Lake,49469.00,32653.00,12354.00,8709.00,1297.00,325.00,360.00,164.00,1.00,49.00,9394.00
Percent,,0.66,0.38,0.27,0.04,0.01,0.01,0.01,0.00,0.00,0.29
,,,,,,,,,,,
Lassen,16571.00,14332.00,2863.00,6958.00,763.00,48.00,150.00,44.00,5.00,84.00,3417.00
Percent,,0.86,0.20,0.49,0.05,0.00,0.01,0.00,0.00,0.01,0.24
,,,,,,,,,,,
Los Angeles,6230147.00,5280658.00,2644567.00,899923.00,111257.00,22010.00,31677.00,28982.00,20783.00,40172.00,1481287.00
Percent,,0.85,0.50,0.17,0.02,0.00,0.01,0.01,0.00,0.01,0.28
,,,,,,,,,,,
Madera,89818.00,57418.00,18129.00,22114.00,1786.00,161.00,437.00,204.00,182.00,238.00,14167.00
Percent,,0.64,0.32,0.39,0.03,0.00,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Marin,181925.00,160944.00,89425.00,23848.00,3567.00,1315.00,1022.00,248.00,256.00,484.00,40779.00
Percent,,0.88,0.56,0.15,0.02,0.01,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Mariposa,14933.00,10853.00,3051.00,4617.00,417.00,85.00,121.00,30.00,9.00,138.00,2385.00
Percent,,0.73,0.28,0.43,0.04,0.01,0.01,0.00,0.00,0.01,0.22
,,,,,,,,,,,
